Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
ELAN,Elanco Animal Health Inc,Common Stock,25.48,$12.56B,Health Care,Pharmaceuticals,Pharmaceuticals,NYSE
GH,Guardant Health Inc,Common Stock,152.29,$19.63B,Health Care,Health Care Providers & Services,Health Care Services,NASDAQ
TWST,Twist Bioscience Corp,Common Stock,95.86,$5.45B,Health Care,Biotechnology,Biotechnology,NASDAQ
MRNA,Moderna Inc,Common Stock,59.66,$23.60B,Health Care,Biotechnology,Biotechnology,NASDAQ
ALC,Alcon Inc,Common Stock,67.35,$34.14B,Health Care,Health Care Equipment & Supplies,Health Care Supplies,NYSE
AVTR,Avantor Inc,Common Stock,10.99,$7.28B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,NYSE
BBIO,BridgeBio Pharma Inc,Common Stock,82.45,$15.82B,Health Care,Biotechnology,Biotechnology,NASDAQ
IMVT,Immunovant Inc,Common Stock,39.53,$8.20B,Health Care,Biotechnology,Biotechnology,NASDAQ
MIRM,Mirum Pharmaceuticals Inc,Common Stock,117.05,$7.11B,Health Care,Biotechnology,Biotechnology,NASDAQ
HIMS,Hims & Hers Health Inc,Common Stock,32.73,$7.57B,Health Care,Health Care Providers & Services,Health Care Services,NYSE
TXG,10x Genomics Inc,Common Stock,47.2,$5.49B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,NASDAQ
BNTX,BioNTech SE,Depository Receipt,92.33,$23.31B,Health Care,Biotechnology,Biotechnology,NASDAQ
RVMD,Revolution Medicines Inc,Common Stock,183.29,$38.35B,Health Care,Biotechnology,Biotechnology,NASDAQ
PCVX,Vaxcyte Inc,Common Stock,58.04,$8.01B,Health Care,Biotechnology,Biotechnology,NASDAQ
RPRX,Royalty Pharma plc,Common Stock,58.42,$32.99B,Health Care,Pharmaceuticals,Pharmaceuticals,NASDAQ
KYMR,Kymera Therapeutics Inc,Common Stock,113.37,$9.14B,Health Care,Biotechnology,Biotechnology,NASDAQ
PRAX,Praxis Precision Medicines Inc,Common Stock,317.87,$8.49B,Health Care,Biotechnology,Biotechnology,NASDAQ
ROIV,Roivant Sciences Ltd,Common Stock,34.96,$24.49B,Health Care,Biotechnology,Biotechnology,NASDAQ
ERAS,Erasca Inc,Common Stock,19.38,$6.44B,Health Care,Biotechnology,Biotechnology,NASDAQ
STVN,Stevanato Group S p A,Common Stock,19.1,$5.80B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,NYSE
BLTE,Belite Bio Inc,Depository Receipt,161.08,$6.13B,Health Care,Pharmaceuticals,Pharmaceuticals,NASDAQ
BLCO,Bausch Lomb Corp,Common Stock,15.99,$5.71B,Health Care,Health Care Equipment & Supplies,Health Care Supplies,NYSE
HLN,Haleon plc,Depository Receipt,9.92,$44.22B,Health Care,Pharmaceuticals,Pharmaceuticals,NYSE
GEHC,GE HealthCare Technologies Inc,Common Stock,62.04,$28.58B,Health Care,Health Care Equipment & Supplies,Health Care Equipment,NASDAQ
APGE,Apogee Therapeutics Inc,Common Stock,134.2,$10.11B,Health Care,Biotechnology,Biotechnology,NASDAQ
ABVX,ABIVAX Societe Anonyme,Depository Receipt,134.09,$10.43B,Health Care,Biotechnology,Biotechnology,NASDAQ
CGON,CG Oncology Inc,Common Stock,71.72,$6.19B,Health Care,Biotechnology,Biotechnology,NASDAQ
BTSG,BrightSpring Health Services Inc,Common Stock,72.56,$13.91B,Health Care,Health Care Providers & Services,Health Care Services,NASDAQ
SOLV,Solventum Corp,Common Stock,78.6,$13.72B,Health Care,Health Care Equipment & Supplies,Health Care Supplies,NYSE
PACS,PACS Group Inc,Common Stock,45.56,$7.08B,Health Care,Health Care Providers & Services,Health Care Facilities,NYSE
TEM,Tempus AI Inc,Common Stock,48.98,$8.69B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,NASDAQ
HNGE,Hinge Health Inc,Common Stock,84.35,$6.79B,Health Care,Health Care Providers & Services,Health Care Services,NYSE
BLLN,BillionToOne Inc,Common Stock,132.53,$5.76B,Health Care,Health Care Providers & Services,Health Care Services,NASDAQ
MDLN,Medline Inc,Common Stock,39.09,$51.08B,Health Care,Health Care Equipment & Supplies,Health Care Supplies,NASDAQ
