Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
HLT,Hilton Worldwide Holdings Inc,Common Stock,323.94,$73.63B,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",NYSE
ARMK,Aramark,Common Stock,56.11,$14.84B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,NYSE
IBP,Installed Building Products Inc,Common Stock,222.09,$5.99B,Consumer Discretionary,Household Durables,Homebuilding,NYSE
JD,JD.com Inc,Depository Receipt,30.43,$38.20B,Consumer Discretionary,Broadline Retail,Broadline Retail,NASDAQ
LEVI,Levi Strauss & Co,Common Stock,24.56,$9.21B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",NYSE
BABA,Alibaba Group Holding Ltd,Depository Receipt,117.97,$288.46B,Consumer Discretionary,Broadline Retail,Broadline Retail,NYSE
W,Wayfair Inc,Common Stock,84.81,$11.58B,Consumer Discretionary,Specialty Retail,Homefurnishing Retail,NYSE
QSR,Restaurant Brands International Inc,Common Stock,73.82,$25.66B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,NYSE
ETSY,Etsy Inc,Common Stock,81.69,$7.97B,Consumer Discretionary,Broadline Retail,Broadline Retail,NYSE
RACE,Ferrari NV,Common Stock,369.97,$65.39B,Consumer Discretionary,Automobiles,Automobile Manufacturers,NYSE
RRR,Red Rock Resorts Inc,Common Stock,64.22,$6.78B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,NASDAQ
VVV,Valvoline Inc,Common Stock,39.45,$5.04B,Consumer Discretionary,Specialty Retail,Automotive Retail,NYSE
YUMC,Yum China Holdings Inc,Common Stock,42.77,$15.34B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,NYSE
GOLF,Acushnet Holdings Corp,Common Stock,109.4,$6.53B,Consumer Discretionary,Leisure Products,Leisure Products,NYSE
LAUR,Laureate Education Inc,Common Stock,36.11,$5.02B,Consumer Discretionary,Diversified Consumer Services,Education Services,NASDAQ
FND,Floor & Decor Holdings Inc,Common Stock,53.37,$5.82B,Consumer Discretionary,Specialty Retail,Home Improvement Retail,NYSE
CVNA,Carvana Co,Common Stock,65.58,$70.35B,Consumer Discretionary,Specialty Retail,Automotive Retail,NYSE
SE,Sea Limited,Depository Receipt,106.26,$64.73B,Consumer Discretionary,Broadline Retail,Broadline Retail,NYSE
