Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
RRX,Regal Rexnord Corp,Common Stock,213.31,$13.69B,Industrials,Electrical Equipment,Electrical Components & Equipment,NYSE
ROK,Rockwell Automation Inc.,Common Stock,464.82,$51.04B,Industrials,Electrical Equipment,Electrical Components & Equipment,NYSE
ROL,Rollins Inc,Common Stock,43.86,$21.54B,Industrials,Commercial Services & Supplies,Environmental & Facilities Services,NYSE
RSG,Republic Services Inc.,Common Stock,214.63,$67.85B,Industrials,Commercial Services & Supplies,Environmental & Facilities Services,NYSE
RTO,Rentokil Initial PLC,Depository Receipt,30.01,$15.21B,Industrials,Commercial Services & Supplies,Environmental & Facilities Services,NYSE
RELX,RELX PLC,Depository Receipt,32.73,$59.73B,Industrials,Professional Services,Research & Consulting Services,NYSE
RYAAY,Ryanair Holdings PLC,Depository Receipt,58.8,$30.64B,Industrials,Passenger Airlines,Passenger Airlines,NASDAQ
STN,Stantec Inc,Common Stock,68.25,$7.88B,Industrials,Construction & Engineering,Construction & Engineering,NYSE
SAIA,Saia Inc,Common Stock,433.22,$11.42B,Industrials,Ground Transportation,Cargo Ground Transportation,NASDAQ
SNA,Snap-On Inc,Common Stock,404,$21.06B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
SPXC,SPX Technologies Inc,Common Stock,217.02,$10.66B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
SSD,Simpson Manufacturing Co. Inc.,Common Stock,185.4,$7.64B,Industrials,Building Products,Building Products,NYSE
STRL,Sterling Infrastructure Inc,Common Stock,694.4,$19.95B,Industrials,Construction & Engineering,Construction & Engineering,NASDAQ
SWK,Stanley Black & Decker Inc,Common Stock,88.19,$13.60B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
XPO,XPO Inc,Common Stock,214.72,$24.73B,Industrials,Ground Transportation,Cargo Ground Transportation,NYSE
AXON,Axon Enterprise Inc,Common Stock,511.17,$42.52B,Industrials,Aerospace & Defense,Aerospace & Defense,NASDAQ
TEX,Terex Corp,Common Stock,64.77,$7.19B,Industrials,Machinery,Construction Machinery & Heavy Transportation Equipment,NYSE
TFII,TFI International Inc,Common Stock,153.21,$12.44B,Industrials,Ground Transportation,Cargo Ground Transportation,NYSE
TKR,Timken Co (The),Common Stock,139.11,$9.34B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
TRI,Thomson Reuters Corp,Common Stock,90.7,$41.63B,Industrials,Professional Services,Research & Consulting Services,NASDAQ
TTC,Toro Co (The),Common Stock,93.24,$8.91B,Industrials,Machinery,Agricultural & Farm Machinery,NYSE
TTEK,Tetra Tech Inc,Common Stock,30.51,$8.12B,Industrials,Commercial Services & Supplies,Environmental & Facilities Services,NASDAQ
TXT,Textron Inc,Common Stock,90.53,$15.79B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
JCI,Johnson Controls International Plc,Common Stock,141.71,$85.03B,Industrials,Building Products,Building Products,NYSE
QXO,QXO Inc,Common Stock,13.94,$14.05B,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,NYSE
UNF,UniFirst Corp,Common Stock,289.48,$5.25B,Industrials,Commercial Services & Supplies,Diversified Support Services,NYSE
UNP,Union Pacific Corp,Common Stock,293.13,$175.89B,Industrials,Ground Transportation,Rail Transportation,NYSE
UPS,United Parcel Service Inc,Common Stock,116.34,$96.18B,Industrials,Air Freight & Logistics,Air Freight & Logistics,NYSE
URI,United Rentals Inc.,Common Stock,1013.54,$63.44B,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,NYSE
RTX,RTX Corp,Common Stock,193.67,$261.85B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
VICR,Vicor Corp,Common Stock,214.7,$10.53B,Industrials,Electrical Equipment,Electrical Components & Equipment,NASDAQ
