Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
MTB,M&T Bank Corp,Common Stock,219.04,$31.60B,Financials,Banks,Regional Banks,NYSE
MUFG,Mitsubishi UFJ Financial Group Inc,Depository Receipt,18.43,$199.11B,Financials,Banks,Diversified Banks,NYSE
MTG,MGIC Investment Corp,Common Stock,27.43,$5.81B,Financials,Financial Services,Commercial & Residential Mortgage Finance,NYSE
MS,Morgan Stanley,Common Stock,176.02,$266.35B,Financials,Capital Markets,Investment Banking & Brokerage,NYSE
NLY,Annaly Capital Management Inc,Common Stock (REIT),21.8,$15.25B,Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs,NYSE
NMR,Nomura Holdings Inc,Depository Receipt,8.55,$23.41B,Financials,Capital Markets,Investment Banking & Brokerage,NYSE
NTRS,Northern Trust Corp,Common Stock,151.74,$26.99B,Financials,Capital Markets,Asset Management & Custody Banks,NASDAQ
FLG,Flagstar Bank NA,Common Stock,13.94,$5.68B,Financials,Banks,Regional Banks,NYSE
ONB,Old National Bancorp,Common Stock,23.25,$8.70B,Financials,Banks,Regional Banks,NASDAQ
ORI,Old Republic International Corp,Common Stock,41.34,$9.86B,Financials,Insurance,Property & Casualty Insurance,NYSE
OZK,Bank OZK,Common Stock,47.49,$5.15B,Financials,Banks,Regional Banks,NASDAQ
PFG,Principal Financial Group Inc,Common Stock,94.2,$19.71B,Financials,Insurance,Life & Health Insurance,NASDAQ
PGR,Progressive Corp (The),Common Stock,198.09,$115.15B,Financials,Insurance,Property & Casualty Insurance,NYSE
PIPR,Piper Sandler Cos,Common Stock,81.56,$5.58B,Financials,Capital Markets,Investment Banking & Brokerage,NYSE
PNC,The PNC Financial Services Group Inc,Common Stock,220.76,$86.29B,Financials,Banks,Diversified Banks,NYSE
PNFP,Pinnacle Financial Partners Inc,Common Stock,91.09,$13.35B,Financials,Banks,Regional Banks,NYSE
PB,Prosperity Bancshares Inc,Common Stock,68.55,$6.83B,Financials,Banks,Regional Banks,NYSE
PRU,Prudential Financial Inc,Common Stock,96.65,$33.88B,Financials,Insurance,Life & Health Insurance,NYSE
PUK,Prudential PLC,Depository Receipt,30.43,$36.82B,Financials,Insurance,Life & Health Insurance,NYSE
EG,Everest Group Ltd,Common Stock,333.26,$13.22B,Financials,Insurance,Reinsurance,NYSE
RF,Regions Financial Corp,Common Stock,27.47,$22.73B,Financials,Banks,Regional Banks,NYSE
RGA,Reinsurance Group of America Inc,Common Stock,211.3,$13.66B,Financials,Insurance,Reinsurance,NYSE
RJF,Raymond James Financial Inc.,Common Stock,147.82,$28.06B,Financials,Capital Markets,Investment Banking & Brokerage,NYSE
RLI,RLI Corp,Common Stock,58.64,$5.31B,Financials,Insurance,Property & Casualty Insurance,NYSE
RNR,RenaissanceRe Holdings Ltd,Common Stock,307.08,$13.06B,Financials,Insurance,Reinsurance,NYSE
RY,Royal Bank of Canada,Common Stock,169.47,$231.17B,Financials,Banks,Diversified Banks,NYSE
BSAC,Banco Santander-Chile,Depository Receipt,34.54,$15.60B,Financials,Banks,Diversified Banks,NYSE
SSB,SouthState Bank Corp,Common Stock,97.16,$9.22B,Financials,Banks,Regional Banks,NYSE
SCHW,Schwab (Charles) Corp,Common Stock,96.7,$162.23B,Financials,Capital Markets,Investment Banking & Brokerage,NYSE
SEIC,SEI Investments Co,Common Stock,77.85,$9.19B,Financials,Capital Markets,Asset Management & Custody Banks,NASDAQ
SF,Stifel Financial Corp.,Common Stock,76.92,$11.39B,Financials,Capital Markets,Investment Banking & Brokerage,NYSE
SHG,Shinhan Financial Group Co Ltd,Depository Receipt,66.41,$29.85B,Financials,Banks,Diversified Banks,NYSE
SLF,Sun Life Financial Inc,Common Stock,65.94,$35.40B,Financials,Insurance,Life & Health Insurance,NYSE
SMFG,Sumitomo Mitsui Financial Group Inc,Depository Receipt,21.58,$130.22B,Financials,Banks,Diversified Banks,NYSE
