Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
USFD,US Foods Holding Corp,Common Stock,94.75,$20.93B,Consumer Staples,Consumer Staples Distribution & Retail,Food Distributors,NYSE
LW,Lamb Weston Holdings Inc,Common Stock,47.26,$6.43B,Consumer Staples,Food Products,Packaged Foods & Meats,NYSE
BJ,BJ's Wholesale Club Holdings Inc,Common Stock,92.34,$11.99B,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Merchandise Retail,NYSE
REYN,Reynolds Consumer Products Inc,Common Stock,25.83,$5.49B,Consumer Staples,Household Products,Household Products,NASDAQ
ACI,Albertsons Cos Inc,Common Stock,14.72,$7.33B,Consumer Staples,Consumer Staples Distribution & Retail,Food Retail,NYSE
KVUE,Kenvue Inc,Common Stock,19.01,$36.52B,Consumer Staples,Personal Care Products,Personal Care Products,NYSE
CART,Maplebear Inc,Common Stock,45.45,$10.99B,Consumer Staples,Consumer Staples Distribution & Retail,Food Retail,NASDAQ
SFD,Smithfield Foods Inc,Common Stock,26.51,$10.19B,Consumer Staples,Food Products,Packaged Foods & Meats,NASDAQ
JBS,JBS NV,Common Stock,11.95,$13.34B,Consumer Staples,Food Products,Packaged Foods & Meats,NYSE
MICC,The Magnum Ice Cream Company NV,Common Stock,17.88,$11.42B,Consumer Staples,Food Products,Packaged Foods & Meats,NYSE
