Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
SSRM,SSR Mining Inc,Common Stock,27.21,$5.17B,Materials,Metals & Mining,Gold,NASDAQ
STLD,Steel Dynamics Inc,Common Stock,233.52,$33.24B,Materials,Metals & Mining,Steel,NASDAQ
SUZ,Suzano SA,Depository Receipt,8.24,$10.19B,Materials,Paper & Forest Products,Paper Products,NYSE
TECK,Teck Resources Ltd,Common Stock,56.83,$26.27B,Materials,Metals & Mining,Diversified Metals & Mining,NYSE
VMC,Vulcan Materials Co,Common Stock,276.75,$36.41B,Materials,Construction Materials,Construction Materials,NYSE
WFG,West Fraser Timber Co Ltd,Common Stock,64.88,$5.34B,Materials,Paper & Forest Products,Forest Products,NYSE
WLK,Westlake Corp,Common Stock,76.22,$9.85B,Materials,Chemicals,Commodity Chemicals,NYSE
CF,CF Industries Holdings Inc,Common Stock,122.96,$18.98B,Materials,Chemicals,Fertilizers & Agricultural Chemicals,NYSE
TX,Ternium S A,Depository Receipt,44.84,$8.92B,Materials,Metals & Mining,Steel,NYSE
FNV,Franco-Nevada Corp,Common Stock,207.4,$38.60B,Materials,Metals & Mining,Gold,NYSE
SW,Smurfit Westrock Plc,Common Stock,43.06,$22.63B,Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials,NYSE
LYB,LyondellBasell Industries NV,Common Stock,61.19,$19.60B,Materials,Chemicals,Commodity Chemicals,NYSE
SBSW,Sibanye-Stillwater Limited,Depository Receipt,8.59,$5.66B,Materials,Metals & Mining,Precious Metals & Minerals,NYSE
EQX,Equinox Gold Corp,Common Stock,9.06,$6.85B,Materials,Metals & Mining,Gold,AMEX
ESI,Element Solutions Inc,Common Stock,38.23,$8.88B,Materials,Chemicals,Specialty Chemicals,NYSE
OR,OR Royalties Inc,Common Stock,29.22,$5.26B,Materials,Metals & Mining,Gold,NYSE
AXTA,Axalta Coating Systems Ltd,Common Stock,32.46,$6.87B,Materials,Chemicals,Specialty Chemicals,NYSE
AA,Alcoa Corporation,Common Stock,44.35,$11.47B,Materials,Metals & Mining,Aluminum,NYSE
DD,DuPont  De Nemours Inc,Common Stock,138.79,$18.33B,Materials,Chemicals,Specialty Chemicals,NYSE
NTR,Nutrien Ltd,Common Stock,66.84,$32.00B,Materials,Chemicals,Fertilizers & Agricultural Chemicals,NYSE
LIN,Linde Plc,Common Stock,505.03,$236.74B,Materials,Chemicals,Industrial Gases,NASDAQ
DOW,Dow Inc,Common Stock,30.47,$21.89B,Materials,Chemicals,Commodity Chemicals,NYSE
CTVA,Corteva Inc,Common Stock,86.94,$58.04B,Materials,Chemicals,Fertilizers & Agricultural Chemicals,NYSE
AMCR,Amcor Plc,Common Stock,43.44,$19.99B,Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials,NYSE
MP,MP Materials Corp,Common Stock,46.3,$8.14B,Materials,Metals & Mining,Diversified Metals & Mining,NYSE
TFPM,Triple Flag Precious Metals Corp,Common Stock,28.52,$5.64B,Materials,Metals & Mining,Gold,NYSE
PRM,Perimeter Solutions Inc,Common Stock,34.79,$5.66B,Materials,Chemicals,Specialty Chemicals,NYSE
AMRZ,Amrize Ltd,Common Stock,48.69,$27.01B,Materials,Construction Materials,Construction Materials,NYSE
SOLS,Solstice Advanced Materials Inc,Common Stock,60.08,$8.97B,Materials,Chemicals,Specialty Chemicals,NASDAQ
