Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
AUGO,Aura Minerals Inc,Common Stock,94.53,$7.44B,Materials,Metals & Mining,Gold,NASDAQ
FNV,Franco-Nevada Corp,Common Stock,265.17,$50.36B,Materials,Metals & Mining,Gold,NYSE
SW,Smurfit Westrock Plc,Common Stock,42.28,$20.57B,Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials,NYSE
LYB,LyondellBasell Industries NV,Common Stock,74.22,$25.86B,Materials,Chemicals,Commodity Chemicals,NYSE
SBSW,Sibanye-Stillwater Limited,Depository Receipt,13.18,$8.77B,Materials,Metals & Mining,Precious Metals & Minerals,NYSE
EQX,Equinox Gold Corp,Common Stock,15.28,$11.66B,Materials,Metals & Mining,Gold,AMEX
ESI,Element Solutions Inc,Common Stock,36.9,$8.43B,Materials,Chemicals,Specialty Chemicals,NYSE
OR,OR Royalties Inc,Common Stock,40.23,$7.52B,Materials,Metals & Mining,Gold,NYSE
AXTA,Axalta Coating Systems Ltd,Common Stock,28.66,$5.58B,Materials,Chemicals,Specialty Chemicals,NYSE
AA,Alcoa Corporation,Common Stock,71.76,$19.25B,Materials,Metals & Mining,Aluminum,NYSE
ORLA,Orla Mining Ltd,Common Stock,17.73,$6.07B,Materials,Metals & Mining,Gold,AMEX
DD,DuPont  De Nemours Inc,Common Stock,47.85,$18.62B,Materials,Chemicals,Specialty Chemicals,NYSE
NTR,Nutrien Ltd,Common Stock,74.88,$36.99B,Materials,Chemicals,Fertilizers & Agricultural Chemicals,NYSE
LIN,Linde Plc,Common Stock,500.48,$229.19B,Materials,Chemicals,Industrial Gases,NASDAQ
DOW,Dow Inc,Common Stock,39.28,$29.80B,Materials,Chemicals,Commodity Chemicals,NYSE
CTVA,Corteva Inc,Common Stock,83.96,$57.29B,Materials,Chemicals,Fertilizers & Agricultural Chemicals,NYSE
AMCR,Amcor Plc,Common Stock,42.37,$18.04B,Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials,NYSE
MP,MP Materials Corp,Common Stock,54.44,$8.79B,Materials,Metals & Mining,Diversified Metals & Mining,NYSE
TFPM,Triple Flag Precious Metals Corp,Common Stock,35.88,$7.31B,Materials,Metals & Mining,Gold,NYSE
AMRZ,Amrize Ltd,Common Stock,56.86,$29.79B,Materials,Construction Materials,Construction Materials,NYSE
SOLS,Solstice Advanced Materials Inc,Common Stock,83.35,$12.31B,Materials,Chemicals,Specialty Chemicals,NASDAQ
