Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
GMAB,Genmab A/S,Depository Receipt,28.4,$17.04B,Health Care,Biotechnology,Biotechnology,NASDAQ
JAZZ,Jazz Pharmaceuticals plc,Common Stock,195.93,$11.75B,Health Care,Pharmaceuticals,Pharmaceuticals,NASDAQ
PODD,Insulet Corp,Common Stock,203.51,$14.02B,Health Care,Health Care Equipment & Supplies,Health Care Equipment,NASDAQ
HCA,HCA Healthcare Inc,Common Stock,505.12,$109.45B,Health Care,Health Care Providers & Services,Health Care Facilities,NYSE
GMED,Globus Medical Inc,Common Stock,91.96,$12.17B,Health Care,Health Care Equipment & Supplies,Health Care Equipment,NYSE
ABBV,AbbVie Inc,Common Stock,211.59,$365.02B,Health Care,Biotechnology,Biotechnology,NYSE
ZTS,Zoetis Inc,Common Stock,119.75,$49.30B,Health Care,Pharmaceuticals,Pharmaceuticals,NYSE
IQV,IQVIA Holdings Inc,Common Stock,172.54,$28.64B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,NYSE
PTCT,PTC Therapeutics Inc,Common Stock,71.26,$5.76B,Health Care,Biotechnology,Biotechnology,NASDAQ
VEEV,Veeva Systems Inc,Common Stock,166.57,$28.18B,Health Care,Health Care Technology,Health Care Technology,NYSE
LNTH,Lantheus Holdings Inc,Common Stock,80.03,$5.07B,Health Care,Health Care Equipment & Supplies,Health Care Supplies,NASDAQ
HQY,HealthEquity Inc,Common Stock,81.95,$6.85B,Health Care,Health Care Providers & Services,Managed Health Care,NASDAQ
XENE,Xenon Pharmaceuticals Inc,Common Stock,57.54,$5.32B,Health Care,Biotechnology,Biotechnology,NASDAQ
DBVT,DBV Technologies S A,Depository Receipt,21.51,$6.05B,Health Care,Biotechnology,Biotechnology,NASDAQ
ASND,Ascendis Pharma AS,Depository Receipt,233.2,$13.66B,Health Care,Biotechnology,Biotechnology,NASDAQ
SMMT,Summit Therapeutics Inc,Common Stock,18.81,$14.90B,Health Care,Biotechnology,Biotechnology,NASDAQ
GKOS,Glaukos Corp,Common Stock,118.62,$6.68B,Health Care,Health Care Equipment & Supplies,Health Care Equipment,NYSE
NTRA,Natera Inc,Common Stock,210.83,$29.66B,Health Care,Biotechnology,Biotechnology,NASDAQ
IBRX,ImmunityBio Inc,Common Stock,6.98,$7.05B,Health Care,Biotechnology,Biotechnology,NASDAQ
PEN,Penumbra Inc,Common Stock,331.08,$12.98B,Health Care,Health Care Equipment & Supplies,Health Care Equipment,NYSE
AXSM,Axsome Therapeutics Inc,Common Stock,173.19,$8.63B,Health Care,Pharmaceuticals,Pharmaceuticals,NASDAQ
ONC,BeOne Medicines Ltd,Depository Receipt,312.19,$33.34B,Health Care,Biotechnology,Biotechnology,NASDAQ
STE,Steris Plc,Common Stock,225.03,$21.50B,Health Care,Health Care Equipment & Supplies,Health Care Equipment,NYSE
PTGX,Protagonist Therapeutics Inc,Common Stock,102.09,$6.62B,Health Care,Biotechnology,Biotechnology,NASDAQ
MEDP,Medpace Holdings Inc,Common Stock,520.65,$14.52B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,NASDAQ
ARGX,argenx SE,Depository Receipt,785.07,$47.37B,Health Care,Biotechnology,Biotechnology,NASDAQ
CELC,Celcuity Inc,Common Stock,116.94,$5.59B,Health Care,Biotechnology,Biotechnology,NASDAQ
KRYS,Krystal Biotech Inc,Common Stock,264.22,$7.77B,Health Care,Biotechnology,Biotechnology,NASDAQ
RYTM,Rhythm Pharmaceuticals Inc,Common Stock,85.48,$5.92B,Health Care,Biotechnology,Biotechnology,NASDAQ
APLS,Apellis Pharmaceuticals Inc,Common Stock,40.69,$5.20B,Health Care,Biotechnology,Biotechnology,NASDAQ
COGT,Cogent Biosciences Inc,Common Stock,36.95,$5.78B,Health Care,Biotechnology,Biotechnology,NASDAQ
SRRK,Scholar Rock Holding Corp,Common Stock,49.99,$5.73B,Health Care,Biotechnology,Biotechnology,NASDAQ
ELAN,Elanco Animal Health Inc,Common Stock,23.6,$11.34B,Health Care,Pharmaceuticals,Pharmaceuticals,NYSE
GH,Guardant Health Inc,Common Stock,92.84,$12.24B,Health Care,Health Care Providers & Services,Health Care Services,NASDAQ
MRNA,Moderna Inc,Common Stock,52.1,$19.87B,Health Care,Biotechnology,Biotechnology,NASDAQ
ALC,Alcon Inc,Common Stock,77.31,$36.39B,Health Care,Health Care Equipment & Supplies,Health Care Supplies,NYSE
AVTR,Avantor Inc,Common Stock,8,$5.41B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,NYSE
BBIO,BridgeBio Pharma Inc,Common Stock,74.14,$13.94B,Health Care,Biotechnology,Biotechnology,NASDAQ
IMVT,Immunovant Inc,Common Stock,24.73,$5.01B,Health Care,Biotechnology,Biotechnology,NASDAQ
MIRM,Mirum Pharmaceuticals Inc,Common Stock,97.95,$5.77B,Health Care,Biotechnology,Biotechnology,NASDAQ
BNTX,BioNTech SE,Depository Receipt,92.08,$22.66B,Health Care,Biotechnology,Biotechnology,NASDAQ
RVMD,Revolution Medicines Inc,Common Stock,96.75,$19.08B,Health Care,Biotechnology,Biotechnology,NASDAQ
PCVX,Vaxcyte Inc,Common Stock,60.1,$8.73B,Health Care,Biotechnology,Biotechnology,NASDAQ
RPRX,Royalty Pharma plc,Common Stock,47.9,$27.04B,Health Care,Pharmaceuticals,Pharmaceuticals,NASDAQ
KYMR,Kymera Therapeutics Inc,Common Stock,87.13,$6.95B,Health Care,Biotechnology,Biotechnology,NASDAQ
PRAX,Praxis Precision Medicines Inc,Common Stock,320.22,$8.54B,Health Care,Biotechnology,Biotechnology,NASDAQ
ROIV,Roivant Sciences Ltd,Common Stock,28.17,$19.86B,Health Care,Biotechnology,Biotechnology,NASDAQ
TERN,Terns Pharmaceuticals Inc,Common Stock,52.66,$6.07B,Health Care,Pharmaceuticals,Pharmaceuticals,NASDAQ
CNTA,Centessa Pharmaceuticals plc,Depository Receipt,39.53,$6.12B,Health Care,Biotechnology,Biotechnology,NASDAQ
ERAS,Erasca Inc,Common Stock,16.94,$5.30B,Health Care,Biotechnology,Biotechnology,NASDAQ
RGC,Regencell Bioscience Holding Ltd,Common Stock,28.88,$13.78B,Health Care,Pharmaceuticals,Pharmaceuticals,NASDAQ
NUVL,Nuvalent Inc,Common Stock,105.04,$8.04B,Health Care,Biotechnology,Biotechnology,NASDAQ
ACLX,Arcellx Inc,Common Stock,114.79,$6.71B,Health Care,Biotechnology,Biotechnology,NASDAQ
BLTE,Belite Bio Inc,Depository Receipt,178.73,$6.79B,Health Care,Pharmaceuticals,Pharmaceuticals,NASDAQ
BLCO,Bausch Lomb Corp,Common Stock,16.54,$5.65B,Health Care,Health Care Equipment & Supplies,Health Care Supplies,NYSE
HLN,Haleon plc,Depository Receipt,9.97,$44.04B,Health Care,Pharmaceuticals,Pharmaceuticals,NYSE
