Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
CNR,Core Natural Resources Inc,Common Stock,94.61,$5.07B,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,NYSE
VIST,Vista Energy SAB de CV,Depository Receipt,65.6,$7.31B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
CRC,California Resources Corp,Common Stock,66.41,$6.08B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
VAL,Valaris Ltd,Common Stock,99.97,$6.90B,Energy,Energy Equipment & Services,Oil & Gas Drilling,NYSE
NE,Noble Corporation Plc,Common Stock,50.32,$8.09B,Energy,Energy Equipment & Services,Oil & Gas Drilling,NYSE
DTM,DT Midstream Inc,Common Stock,134.39,$13.68B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
SHEL,Shell Plc,Depository Receipt,92.01,$265.22B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,NYSE
KGS,Kodiak Gas Services Inc,Common Stock,60.23,$5.24B,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,NYSE
SOBO,South Bow Corp,Common Stock,33.49,$7.05B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
VG,Venture Global Inc,Common Stock,14.44,$39.29B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
