Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
GWW,Grainger (W.W.) Inc,Common Stock,1146.72,$52.45B,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,NYSE
HEI,HEICO Corp,Common Stock,293.34,$15.19B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
HEI-A,HEICO Corp,Common Stock,224.21,$17.92B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
HON,Honeywell International Inc,Common Stock,232.47,$142.29B,Industrials,Industrial Conglomerates,Industrial Conglomerates,NASDAQ
LHX,L3Harris Technologies Inc,Common Stock,361.97,$66.12B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
HUBB,Hubbell Inc,Common Stock,527.21,$26.48B,Industrials,Electrical Equipment,Electrical Components & Equipment,NYSE
HXL,Hexcel Corp,Common Stock,83.31,$6.03B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
IEX,IDEX Corp,Common Stock,197.85,$14.23B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
TT,Trane Technologies plc,Common Stock,449.47,$95.58B,Industrials,Building Products,Building Products,NYSE
ITT,ITT Inc,Common Stock,210.08,$17.55B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
ITW,Illinois Tool Works Inc.,Common Stock,269.51,$74.62B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
JBHT,J.B. Hunt Transport Services Inc.,Common Stock,224.63,$20.60B,Industrials,Ground Transportation,Cargo Ground Transportation,NASDAQ
J,Jacobs Solutions Inc,Common Stock,131.14,$14.94B,Industrials,Professional Services,Research & Consulting Services,NYSE
KEX,Kirby Corp,Common Stock,140.69,$7.53B,Industrials,Marine Transportation,Marine Transportation,NYSE
KNX,Knight-Swift Transportation Holdings Inc,Common Stock,62.47,$9.67B,Industrials,Ground Transportation,Cargo Ground Transportation,NYSE
LECO,Lincoln Electric Holdings Inc,Common Stock,254.4,$13.27B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NASDAQ
LII,Lennox International Inc.,Common Stock,478.08,$15.68B,Industrials,Building Products,Building Products,NYSE
LMT,Lockheed Martin Corp,Common Stock,628.5,$144.66B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
LSTR,Landstar System Inc,Common Stock,171.45,$5.67B,Industrials,Ground Transportation,Cargo Ground Transportation,NASDAQ
LUV,Southwest Airlines Co.,Common Stock,40.4,$18.60B,Industrials,Passenger Airlines,Passenger Airlines,NYSE
MAS,Masco Corporation,Common Stock,62.23,$12.03B,Industrials,Building Products,Building Products,NYSE
MIDD,Middleby Corp (The),Common Stock,143.59,$6.38B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NASDAQ
MLI,Mueller Industries Inc.,Common Stock,118.46,$12.48B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
MMM,3M Co,Common Stock,149.17,$75.41B,Industrials,Industrial Conglomerates,Industrial Conglomerates,NYSE
MOD,Modine Manufacturing Co,Common Stock,234.84,$11.28B,Industrials,Building Products,Building Products,NYSE
MOG-A,Moog Inc.,Common Stock,313.25,$8.47B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
MSA,MSA Safety Inc,Common Stock,171.33,$6.43B,Industrials,Commercial Services & Supplies,Office Services & Supplies,NYSE
MSM,MSC Industrial Direct Co Inc.,Common Stock,95.58,$5.06B,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,NYSE
MTZ,MasTec Inc.,Common Stock,348.11,$26.68B,Industrials,Construction & Engineering,Construction & Engineering,NYSE
NDSN,Nordson Corp,Common Stock,274.57,$14.81B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NASDAQ
NOC,Northrop Grumman Corp,Common Stock,687.47,$98.07B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
NPO,Enpro Inc,Common Stock,273.8,$5.38B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
NSC,Norfolk Southern Corp,Common Stock,294.1,$70.63B,Industrials,Ground Transportation,Rail Transportation,NYSE
ODFL,Old Dominion Freight Line Inc,Common Stock,207.53,$41.46B,Industrials,Ground Transportation,Cargo Ground Transportation,NASDAQ
OSK,Oshkosh Corp,Common Stock,156.59,$9.19B,Industrials,Machinery,Construction Machinery & Heavy Transportation Equipment,NYSE
PAYX,Paychex Inc.,Common Stock,89.89,$32.82B,Industrials,Professional Services,Human Resource & Employment Services,NASDAQ
PCAR,PACCAR Inc,Common Stock,124.19,$62.20B,Industrials,Machinery,Construction Machinery & Heavy Transportation Equipment,NASDAQ
PH,Parker-Hannifin Corp,Common Stock,966.05,$115.23B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
PNR,Pentair plc,Common Stock,90.53,$14.07B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
POWL,Powell Industries Inc,Common Stock,218.07,$7.35B,Industrials,Electrical Equipment,Electrical Components & Equipment,NASDAQ
PWR,Quanta Services Inc.,Common Stock,576.24,$83.12B,Industrials,Construction & Engineering,Construction & Engineering,NYSE
R,Ryder System Inc,Common Stock,220.27,$8.13B,Industrials,Ground Transportation,Cargo Ground Transportation,NYSE
DRS,Leonardo DRS Inc,Common Stock,47.93,$12.28B,Industrials,Aerospace & Defense,Aerospace & Defense,NASDAQ
RBA,RB Global Inc,Common Stock,99.81,$18.18B,Industrials,Commercial Services & Supplies,Diversified Support Services,NYSE
RRX,Regal Rexnord Corp,Common Stock,204.15,$12.34B,Industrials,Electrical Equipment,Electrical Components & Equipment,NYSE
ROK,Rockwell Automation Inc.,Common Stock,389.97,$41.50B,Industrials,Electrical Equipment,Electrical Components & Equipment,NYSE
ROL,Rollins Inc,Common Stock,54.7,$25.88B,Industrials,Commercial Services & Supplies,Environmental & Facilities Services,NYSE
RSG,Republic Services Inc.,Common Stock,216.51,$68.09B,Industrials,Commercial Services & Supplies,Environmental & Facilities Services,NYSE
RTO,Rentokil Initial PLC,Depository Receipt,33.7,$16.50B,Industrials,Commercial Services & Supplies,Environmental & Facilities Services,NYSE
RELX,RELX PLC,Depository Receipt,33.93,$59.82B,Industrials,Professional Services,Research & Consulting Services,NYSE
RYAAY,Ryanair Holdings PLC,Depository Receipt,64.2,$30.43B,Industrials,Passenger Airlines,Passenger Airlines,NASDAQ
STN,Stantec Inc,Common Stock,87.75,$9.85B,Industrials,Construction & Engineering,Construction & Engineering,NYSE
SAIA,Saia Inc,Common Stock,400.31,$10.02B,Industrials,Ground Transportation,Cargo Ground Transportation,NASDAQ
SNA,Snap-On Inc,Common Stock,380.62,$19.09B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
SPXC,SPX Technologies Inc,Common Stock,212.22,$9.81B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
SSD,Simpson Manufacturing Co. Inc.,Common Stock,175.18,$6.86B,Industrials,Building Products,Building Products,NYSE
STRL,Sterling Infrastructure Inc,Common Stock,423.35,$11.73B,Industrials,Construction & Engineering,Construction & Engineering,NASDAQ
SWK,Stanley Black & Decker Inc,Common Stock,71.49,$10.50B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
XPO,XPO Inc,Common Stock,211.7,$23.47B,Industrials,Ground Transportation,Cargo Ground Transportation,NYSE
AXON,Axon Enterprise Inc,Common Stock,391.53,$29.98B,Industrials,Aerospace & Defense,Aerospace & Defense,NASDAQ
TEX,Terex Corp,Common Stock,63.17,$6.78B,Industrials,Machinery,Construction Machinery & Heavy Transportation Equipment,NYSE
TFII,TFI International Inc,Common Stock,120.59,$9.46B,Industrials,Ground Transportation,Cargo Ground Transportation,NYSE
TKR,Timken Co (The),Common Stock,105.88,$6.92B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
TRI,Thomson Reuters Corp,Common Stock,86.11,$39.26B,Industrials,Professional Services,Research & Consulting Services,NASDAQ
TTC,Toro Co (The),Common Stock,97.47,$9.12B,Industrials,Machinery,Agricultural & Farm Machinery,NYSE
TTEK,Tetra Tech Inc,Common Stock,30.94,$8.06B,Industrials,Commercial Services & Supplies,Environmental & Facilities Services,NASDAQ
TXT,Textron Inc,Common Stock,91.37,$15.27B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
JCI,Johnson Controls International Plc,Common Stock,139,$81.50B,Industrials,Building Products,Building Products,NYSE
QXO,QXO Inc,Common Stock,20.52,$13.61B,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,NYSE
UFPI,UFP Industries Inc,Common Stock,94.87,$5.17B,Industrials,Building Products,Building Products,NASDAQ
UNP,Union Pacific Corp,Common Stock,249.11,$146.11B,Industrials,Ground Transportation,Rail Transportation,NYSE
UPS,United Parcel Service Inc,Common Stock,100.45,$82.90B,Industrials,Air Freight & Logistics,Air Freight & Logistics,NYSE
URI,United Rentals Inc.,Common Stock,760.69,$46.08B,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,NYSE
RTX,RTX Corp,Common Stock,203.48,$266.40B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
VICR,Vicor Corp,Common Stock,179.99,$7.25B,Industrials,Electrical Equipment,Electrical Components & Equipment,NASDAQ
VMI,Valmont Industries Inc,Common Stock,427.81,$8.05B,Industrials,Construction & Engineering,Construction & Engineering,NYSE
VSEC,VSE Corp,Common Stock,210.9,$5.22B,Industrials,Aerospace & Defense,Aerospace & Defense,NASDAQ
WAB,Westinghouse Air Brake Technologies Corp,Common Stock,269.66,$43.57B,Industrials,Machinery,Construction Machinery & Heavy Transportation Equipment,NYSE
WCC,WESCO International Inc,Common Stock,292.52,$13.56B,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,NYSE
WCN,Waste Connections Inc.,Common Stock,163.01,$41.79B,Industrials,Commercial Services & Supplies,Environmental & Facilities Services,NYSE
KTOS,Kratos Defense & Security Solutions Inc,Common Stock,74.46,$13.48B,Industrials,Aerospace & Defense,Aerospace & Defense,NASDAQ
WWD,Woodward Inc,Common Stock,394.97,$22.37B,Industrials,Aerospace & Defense,Aerospace & Defense,NASDAQ
WM,Waste Management Inc.,Common Stock,231.43,$94.00B,Industrials,Commercial Services & Supplies,Environmental & Facilities Services,NYSE
FERG,Ferguson Enterprises Inc,Common Stock,249.2,$45.86B,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,NYSE
WSO,Watsco Inc,Common Stock,390.9,$13.34B,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,NYSE
WTS,Watts Water Technologies Inc,Common Stock,301.15,$9.68B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
BLDR,Builders FirstSource Inc,Common Stock,83.09,$8.73B,Industrials,Building Products,Building Products,NYSE
RBC,RBC Bearings Inc,Common Stock,580.55,$17.50B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
UAL,United Airlines Holdings Inc,Common Stock,96.3,$28.88B,Industrials,Passenger Airlines,Passenger Airlines,NASDAQ
PAC,Grupo Aeroportuario Del Pacifico SA,Depository Receipt,252.39,$10.39B,Industrials,Transportation Infrastructure,Airport Services,NYSE
TDG,TransDigm Group Inc,Common Stock,1219.88,$66.05B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
