Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
YUMC,Yum China Holdings Inc,Common Stock,49.83,$16.95B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,NYSE
GOLF,Acushnet Holdings Corp,Common Stock,98.47,$5.52B,Consumer Discretionary,Leisure Products,Leisure Products,NYSE
FND,Floor & Decor Holdings Inc,Common Stock,51.13,$5.15B,Consumer Discretionary,Specialty Retail,Home Improvement Retail,NYSE
CVNA,Carvana Co,Common Stock,338.81,$70.16B,Consumer Discretionary,Specialty Retail,Automotive Retail,NYSE
SE,Sea Limited,Depository Receipt,85.31,$44.46B,Consumer Discretionary,Broadline Retail,Broadline Retail,NYSE
ADT,ADT Inc,Common Stock,6.84,$5.41B,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services,NYSE
WH,Wyndham Hotels & Resorts Inc,Common Stock,83.09,$6.09B,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",NYSE
PDD,PDD Holdings Inc,Depository Receipt,103.75,$141.31B,Consumer Discretionary,Broadline Retail,Broadline Retail,NASDAQ
NIO,NIO Inc,Depository Receipt,6.38,$15.02B,Consumer Discretionary,Automobiles,Automobile Manufacturers,NYSE
CHWY,Chewy Inc,Common Stock,26.46,$10.93B,Consumer Discretionary,Specialty Retail,Other Specialty Retail,NYSE
DKNG,DraftKings Inc,Common Stock,23.94,$11.38B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,NASDAQ
RSI,Rush Street Interactive Inc,Common Stock,22.21,$5.13B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,NYSE
LI,Li Auto Inc,Depository Receipt,18.63,$19.89B,Consumer Discretionary,Automobiles,Automobile Manufacturers,NASDAQ
XPEV,XPeng Inc,Depository Receipt,17.8,$16.48B,Consumer Discretionary,Automobiles,Automobile Manufacturers,NYSE
SGHC,Super Group (SGHC) Ltd,Common Stock,10.93,$5.22B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,NYSE
ABNB,Airbnb Inc,Common Stock,131.4,$76.07B,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",NASDAQ
DASH,DoorDash Inc,Common Stock,160.69,$67.73B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,NASDAQ
CPNG,Coupang Inc,Common Stock,19.68,$35.08B,Consumer Discretionary,Broadline Retail,Broadline Retail,NYSE
GLBE,Global-E Online Ltd,Common Stock,30.75,$5.16B,Consumer Discretionary,Broadline Retail,Broadline Retail,NASDAQ
BROS,Dutch Bros Inc,Common Stock,55.5,$8.74B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,NYSE
ONON,On Holding AG,Common Stock,33.81,$10.66B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Footwear,NYSE
LTH,Life Time Group Holdings Inc,Common Stock,28.52,$6.25B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Leisure Facilities,NYSE
RIVN,Rivian Automotive Inc,Common Stock,15.14,$18.23B,Consumer Discretionary,Automobiles,Automobile Manufacturers,NASDAQ
MBLY,Mobileye Global Inc,Common Stock,7.37,$6.04B,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,NASDAQ
CAVA,CAVA Group Inc,Common Stock,86.21,$9.71B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,NYSE
SN,SharkNinja Inc,Common Stock,111.91,$14.71B,Consumer Discretionary,Household Durables,Household Appliances,NYSE
LLYVK,Liberty Live Holdings Inc,Common Stock,101.13,$6.25B,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services,NASDAQ
BIRK,Birkenstock Holding plc,Common Stock,36.95,$6.38B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Footwear,NYSE
AS,Amer Sports Inc,Common Stock,35.07,$18.99B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",NYSE
VIK,Viking Holdings Ltd,Common Stock,77.89,$31.86B,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",NYSE
